CRASH REPORT NUMBER,CRASH DATE,MILITARY TIME,AGENCY,NUMBER OF PEOPLE KILLED,NUMBER OF PEOPLE WITH INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH NON-INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH NON-VISIBLE INJURIES,NUMBER OF PEOPLE INJURED                    (CLASS A+B+C),"NUMBER OF VEHICLES, PEDESTRIANS AND PEDALCYCLISTS INVOLVED",WGS_X,WGS_Y
710039930,2012-01-04,10:25,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.645411726,35.0797353908
710087853,2012-01-06,15:25,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.615778254,35.0754726564
710064041,2012-01-13,16:18,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118625,35.075038814
710062474,2012-01-15,10:50,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.645411726,35.0797353908
710080169,2012-01-15,2:27,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,1,-106.62984999,35.0777095986
710090152,2012-01-17,19:47,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118625,35.075038814
710094984,2012-01-18,16:21,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745801,35.0756911525
710112553,2012-01-20,18:06,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.614556259,35.0754763662
23357717,2012-01-24,8:15,STATION REPORT,0,0,0,0,0,2,-106.627745801,35.0756911525
710093952,2012-01-24,18:15,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.622118701,35.0750388671
710096953,2012-01-31,9:04,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.63105402,35.0778779304
710112560,2012-02-02,17:15,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.607069878,35.0754508602
710112563,2012-02-10,20:55,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745801,35.0756911525
710087872,2012-02-14,12:06,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,3,-106.615778254,35.0754726564
710096530,2012-03-21,19:54,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.601077092,35.075420677
710087896,2012-03-27,17:33,ALBUQUERQUE POLICE DEPARTMENT,0,1,0,3,4,3,-106.629849998,35.0777096526
710094515,2012-03-28,17:30,ALBUQUERQUE POLICE DEPARTMENT,0,0,1,0,1,2,-106.633420992,35.0781765045
710087898,2012-03-30,13:05,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.612024103,35.0754740115
710112460,2012-03-30,10:36,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745873,35.0756912146
710089840,2012-04-01,17:03,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.617058298,35.0754530491
710112823,2012-04-04,12:48,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.628146329,35.0766430482
710094189,2012-04-05,16:30,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.638206929,35.0787958828
710051022,2012-04-08,14:10,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.632237059,35.078020882
710112824,2012-04-09,11:55,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.613295715,35.0754482358
710037492,2012-04-11,8:20,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.634611139,35.0783197337
710078991,2012-04-11,5:57,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.636989852,35.0786260857
23311795,2012-04-11,15:00,STATION REPORT,0,0,0,0,0,2,-106.613295715,35.0754482358
710042006,2012-04-11,0:46,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.649975392,35.0803149424
710112468,2012-04-12,12:45,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.624052977,35.0750287975
710114936,2012-04-13,23:04,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.617058298,35.0754530491
710093086,2012-04-14,12:07,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.636989852,35.0786260857
710116139,2012-04-18,20:46,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,2,2,2,-106.636989852,35.0786260857
710011863,2012-04-21,7:25,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118701,35.0750388671
710083752,2012-04-23,8:41,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.595358244,35.074968966
710096730,2012-04-28,23:10,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118701,35.0750388671
710113528,2012-04-30,8:35,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.608275592,35.0754398143
23312002,2012-05-01,8:45,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.637350678,35.0786819456
23356337,2012-05-01,15:15,STATION REPORT,0,0,0,0,0,2,-106.608275592,35.0754398143
23361146,2012-05-05,9:46,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.613295715,35.0754482358
23311356,2012-05-06,14:00,STATION REPORT,0,0,0,0,0,2,-106.636989852,35.0786260857
710113593,2012-05-10,17:17,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.639384134,35.078952259
710095523,2012-05-10,17:17,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.642947333,35.0794277876
710096054,2012-05-14,23:32,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.624052977,35.0750287975
710114951,2012-05-17,18:55,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.636989852,35.0786260857
710114955,2012-05-20,18:13,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.624052977,35.0750287975
710035371,2012-05-28,17:15,ALBUQUERQUE POLICE DEPARTMENT,0,0,1,1,2,2,-106.615778296,35.0754727099
710079512,2012-05-28,1:00,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,1,-106.633420992,35.0781765045
710097173,2012-06-06,8:56,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.636989852,35.0786260857
710088712,2012-06-07,18:04,ALBUQUERQUE POLICE DEPARTMENT,0,0,2,0,2,2,-106.636989852,35.0786260857
710093363,2012-06-10,14:41,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118701,35.0750388671
23356416,2012-06-12,11:45,STATION REPORT,0,0,0,0,0,2,-106.62753443,35.0774039891
710115891,2012-06-12,9:26,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.604529267,35.0754264346
710083975,2012-06-13,18:04,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.615778296,35.0754727099
710116129,2012-06-17,18:28,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.603390822,35.0754300982
710082960,2012-06-17,2:47,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.642947333,35.0794277876
710112344,2012-06-19,19:36,ALBUQUERQUE POLICE DEPARTMENT,0,0,3,1,4,2,-106.648784284,35.0801633038
30081149,2012-06-21,11:53,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.617058298,35.0754530491
23304529,2012-06-23,10:15,STATION REPORT,0,0,0,0,0,2,-106.613295715,35.0754482358
23356428,2012-06-23,9:05,STATION REPORT,0,0,0,0,0,2,-106.613295715,35.0754482358
710118472,2012-06-27,14:07,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.620801732,35.0754735994
23295400,2012-06-28,17:20,STATION REPORT,0,0,0,0,0,2,-106.62753443,35.0774039891
710115201,2012-07-03,7:32,ALBUQUERQUE POLICE DEPARTMENT,0,0,1,0,1,2,-106.636989852,35.0786260857
710096801,2012-07-07,13:40,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.634611139,35.0783197337
710116134,2012-07-08,15:32,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745873,35.0756912146
710086330,2012-07-09,15:30,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.658306406,35.0813999956
23356442,2012-07-10,15:00,STATION REPORT,0,0,0,1,1,1,-106.624052977,35.0750287975
710117156,2012-07-14,2:37,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,1,-106.62866985,35.0775543228
23203465,2012-07-17,9:45,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,1,-106.615778296,35.0754727099
