,CRASH REPORT NUMBER,CRASH DATE,CRASH YEAR,MONTH,DAY OF MONTH,DAY OF WEEK,TIME OF CRASH,HOUR OF CRASH,COUNTY,CRASH LOCATION (CITY OR RURAL),REPORTING AGENCY,STREET,STREET LOCATION,PRIMARY STREET,SECONDARY STREET,CRASH SEVERITY,CRASH CLASSIFICATION,CRASH ANALYSIS,HIGHEST CONTRIBUTING FACTOR TO CRASH,NUMBER OF PEOPLE IN CRASH,NUMBER OF PEOPLE KILLED,NUMBER OF PEOPLE WITH INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH VISIBLE INJURIES,NUMBER OF PEOPLE WITH NON-VISIBLE INJURIES,NUMBER OF PEOPLE NOT INJURED,NUMBER OF VEHICLES INVOLVED,ALCOHOL INVOLVEMENT,DRUG INVOLVEMENT,PEDESTRIAN INVOLVEMENT,MOTORCYCLE INVOLVEMENT,PEDALCYCLE INVOLVEMENT,HEAVY TRUCK INVOLVEMENT,HAZARDOUS MATERIAL INVOLVEMENT,LIGHTING,WEATHER,HIT AND RUN CRASH,MAXIMUM VEHICLE DAMAGE,HIGHEST ENFORCEMENT ACTION,STATE HIGHWAY DEPT. PROPERTY,"ROAD SYSTEM--RURAL, URBAN, OR INTERSTATE",HIGHWAY ELEMENT,FIRST HARMFUL EVENT OCCURRED,ROAD CHARACTER,ROAD GRADE,DIRECTION OF VEHICLE WITH HIGHEST CONTRIBUTING FACTOR,DIRECTION FROM INTERSECTION,FEET FROM INTERSECTION,MILES FROM INTERSECTION,AMBULANCE NAME,UTM_X,UTM_Y,WGS_X,WGS_Y,MERGED STREETS
0,129442,1/2/94,1994,January,2,Sunday,1314,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,HARVARD DR SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Passed Stop Sign,7,0,1,0,5,1,3,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6208,35.0773,"LEAD AVE SE, HARVARD DR SE"
1,136315,1/3/94,1994,January,3,Monday,1835,18,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,YALE BLVD SE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Failed to Yield Right of Way,4,0,0,0,1,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,No,Appearance,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,,,-106.6221,35.0775,"YALE BLVD SE, LEAD AVE SE"
2,141266,1/10/94,1994,January,10,Monday,2356,23,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,ALISO DR SE,Property Damage Only Crash,Fixed Object,"Fixed Object - Fence (Wood, Brick, Stone)",Speed Too Fast for Conditions,1,0,0,0,0,1,1,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Not Lighted,Clear,No,Functional,NONE,,Urban,NON-INTERSECTION,Off Roadway,STRAIGHT,On Grade,,U,9998,0,,,,,,"LEAD AVE SE, ALISO DR SE"
3,100827,1/13/94,1994,January,13,Thursday,1300,13,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,AMHERST DR SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,6,0,0,0,1,5,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,On Grade,,UNKNOWN OR N/A,0,0,,,,-106.6058,35.0772,"LEAD AVE SE, AMHERST DR SE"
4,942450,1/17/94,1994,January,17,Monday,2030,20,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,UNIVERSITY BLVD SE,LEAD AVE SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,3,0,1,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,ALBUQ AMBULANCE SERVICE,,,-106.6274,35.0784,"UNIVERSITY BLVD SE, LEAD AVE SE"
5,100817,1/19/94,1994,January,19,Wednesday,1720,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,SECONDARY,GIRARD BLVD SE,LEAD AVE SE,Injury Crash,Other Vehicle,Non-Intersection - One Vehicle/Stopped Traffic,Following Too Closely,4,0,0,0,1,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dusk,Clear,No,Appearance,CITATION,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,,SOUTH,20,0,,,,-106.6133,35.0773,"GIRARD BLVD SE, LEAD AVE SE"
6,130638,1/20/94,1994,January,20,Thursday,1,0,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,PRIMARY,LEAD AVE SE,HARVARD DR SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Rear End Collision,Speed Too Fast for Conditions,4,0,0,0,0,4,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Not Lighted,Clear,No,Appearance,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,,U,9998,0,,,,-106.6208,35.0773,"LEAD AVE SE, HARVARD DR SE"
7,130776,1/20/94,1994,January,20,Thursday,747,7,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD,PRIMARY,LEAD AVE SE,MONTCLAIRE DR SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - One Vehicle/Stopped Traffic,Following Too Closely,7,0,0,0,0,7,6,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,,U,9998,0,,,,-106.599,35.0766,"LEAD AVE SE, MONTCLAIRE DR SE"
8,211426,1/20/94,1994,January,20,Thursday,745,7,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,PRIMARY,LEAD AVE SE,SIERRA DR SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Driver Inattention,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,,U,9998,0,,,,-106.598,35.0762,"LEAD AVE SE, SIERRA DR SE"
9,130352,1/21/94,1994,January,21,Friday,1905,19,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD,PRIMARY,LEAD AVE SE,VASSAR DR SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,No,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,U,9998,0,,,,-106.6146,35.0773,"LEAD AVE SE, VASSAR DR SE"
