CRASH REPORT NUMBER,CRASH DATE,CRASH YEAR,MONTH,DAY OF MONTH,DAY OF WEEK,TIME OF CRASH,HOUR OF CRASH,COUNTY,CRASH LOCATION (CITY OR RURAL),REPORTING AGENCY,STREET,STREET LOCATION,PRIMARY STREET,SECONDARY STREET,CRASH SEVERITY,CRASH CLASSIFICATION,CRASH ANALYSIS,HIGHEST CONTRIBUTING FACTOR TO CRASH,NUMBER OF PEOPLE IN CRASH,NUMBER OF PEOPLE KILLED,NUMBER OF PEOPLE WITH INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH VISIBLE INJURIES,NUMBER OF PEOPLE WITH NON-VISIBLE INJURIES,NUMBER OF PEOPLE NOT INJURED,NUMBER OF VEHICLES INVOLVED,ALCOHOL INVOLVEMENT,DRUG INVOLVEMENT,PEDESTRIAN INVOLVEMENT,MOTORCYCLE INVOLVEMENT,PEDALCYCLE INVOLVEMENT,HEAVY TRUCK INVOLVEMENT,HAZARDOUS MATERIAL INVOLVEMENT,LIGHTING,WEATHER,HIT AND RUN CRASH,MAXIMUM VEHICLE DAMAGE,HIGHEST ENFORCEMENT ACTION,STATE HIGHWAY DEPT. PROPERTY,"ROAD SYSTEM--RURAL, URBAN, OR INTERSTATE",HIGHWAY ELEMENT,FIRST HARMFUL EVENT OCCURRED,ROAD CHARACTER,ROAD GRADE,DIRECTION OF VEHICLE WITH HIGHEST CONTRIBUTING FACTOR,DIRECTION FROM INTERSECTION,FEET FROM INTERSECTION,MILES FROM INTERSECTION,AMBULANCE NAME,UTM_X,UTM_Y,WGS_X,WGS_Y
101269,2/18/94,1994,February,18,Friday,1635,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Following Too Closely,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,EAST,40,0,,354547.428826,3882520.734929,-106.5954,35.075
100158,3/30/94,1994,March,30,Wednesday,1130,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Failed to Yield Right of Way,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
213743,4/1/94,1994,April,1,Friday,1908,19,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Failed to Yield Right of Way,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,No,Appearance,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
203345,4/6/94,1994,April,6,Wednesday,645,6,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - One Right Turn/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Other,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
198580,6/7/94,1994,June,7,Tuesday,1255,12,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Following Too Closely,3,0,0,0,1,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,CURVE,On Grade,,EAST,16,0,,354547.428826,3882520.734929,-106.5954,35.075
201252,7/13/94,1994,July,13,Wednesday,1723,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/Both Turn Left,Driver Inattention,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,EAST,20,0,,354547.428826,3882520.734929,-106.5954,35.075
202352,7/17/94,1994,July,17,Sunday,50,0,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Other Improper Driving,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,Yes,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,EAST,20,0,,354547.428826,3882520.734929,-106.5954,35.075
206783,10/16/94,1994,October,16,Sunday,2159,21,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Not Lighted,Raining,Yes,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
223560,11/18/94,1994,November,18,Friday,1737,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Driver Inattention,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dusk,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
320558,1/3/95,1995,January,3,Tuesday,555,5,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Failed to Yield Right of Way,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
